model,D1_tp,D1_fp,D1_fn,D1_tn,D1_precision,D1_recall,D1_f1,D1_count,D2_tp,D2_fp,D2_fn,D2_tn,D2_precision,D2_recall,D2_f1,D2_count,D3_tp,D3_fp,D3_fn,D3_tn,D3_precision,D3_recall,D3_f1,D3_count,D4_tp,D4_fp,D4_fn,D4_tn,D4_precision,D4_recall,D4_f1,D4_count
all-minilm_latest,8,0,0,0,1.0,1.0,1.0,8,2382,0,50,0,1.0,0.9794,0.9896,2432,0,48,0,522,0.0,0,0,570,0,9,0,1344,0.0,0,0,1353
bge-m3_latest,8,0,0,0,1.0,1.0,1.0,8,2456,0,11,0,1.0,0.9955,0.9978,2467,0,45,0,555,0.0,0,0,600,0,9,0,1391,0.0,0,0,1400
bm25_baseline,1,0,7,0,1.0,0.125,0.2222,8,47,0,2420,0,1.0,0.0191,0.0374,2467,0,1,0,599,0.0,0,0,600,0,0,0,1400,0,0,0,1400
bm25f_baseline,1,0,7,0,1.0,0.125,0.2222,8,163,0,2304,0,1.0,0.0661,0.124,2467,0,1,0,599,0.0,0,0,600,0,0,0,1400,0,0,0,1400
bm25f_tuned,0,0,8,0,0,0.0,0,8,0,0,2467,0,0,0.0,0,2467,0,1,0,599,0.0,0,0,600,0,0,0,1400,0,0,0,1400
mxbai-embed-large_latest,8,0,0,0,1.0,1.0,1.0,8,2443,0,24,0,1.0,0.9903,0.9951,2467,0,47,0,553,0.0,0,0,600,0,3,0,1397,0.0,0,0,1400
nomic-embed-text_latest,8,0,0,0,1.0,1.0,1.0,8,2426,0,41,0,1.0,0.9834,0.9916,2467,0,79,0,521,0.0,0,0,600,0,9,0,1391,0.0,0,0,1400
qwen3-embedding_latest,8,0,0,0,1.0,1.0,1.0,8,2456,0,11,0,1.0,0.9955,0.9978,2467,0,32,0,568,0.0,0,0,600,0,4,0,1396,0.0,0,0,1400
snowflake-arctic-embed_latest,8,0,0,0,1.0,1.0,1.0,8,2444,0,23,0,1.0,0.9907,0.9953,2467,0,70,0,530,0.0,0,0,600,0,12,0,1388,0.0,0,0,1400
tfidf_baseline,3,0,5,0,1.0,0.375,0.5455,8,432,0,2035,0,1.0,0.1751,0.298,2467,0,1,0,599,0.0,0,0,600,0,0,0,1400,0,0,0,1400
