model,D1_tp,D1_fp,D1_fn,D1_tn,D1_precision,D1_recall,D1_f1,D1_count,D2_tp,D2_fp,D2_fn,D2_tn,D2_precision,D2_recall,D2_f1,D2_count,D3_tp,D3_fp,D3_fn,D3_tn,D3_precision,D3_recall,D3_f1,D3_count,D4_tp,D4_fp,D4_fn,D4_tn,D4_precision,D4_recall,D4_f1,D4_count
all-minilm_latest,8,0,0,0,1.0,1.0,1.0,8,2385,0,47,0,1.0,0.9807,0.9902,2432,0,48,0,522,0.0,0,0,570,0,9,0,1344,0.0,0,0,1353
bge-m3_latest,8,0,0,0,1.0,1.0,1.0,8,2456,0,11,0,1.0,0.9955,0.9978,2467,0,45,0,555,0.0,0,0,600,0,9,0,1391,0.0,0,0,1400
bm25_baseline,1,0,7,0,1.0,0.125,0.2222,8,46,0,2421,0,1.0,0.0186,0.0366,2467,0,1,0,599,0.0,0,0,600,0,0,0,1400,0,0,0,1400
bm25f_baseline,1,0,7,0,1.0,0.125,0.2222,8,164,0,2303,0,1.0,0.0665,0.1247,2467,0,1,0,599,0.0,0,0,600,0,0,0,1400,0,0,0,1400
bm25f_tuned,0,0,8,0,0,0.0,0,8,0,0,2467,0,0,0.0,0,2467,0,1,0,599,0.0,0,0,600,0,0,0,1400,0,0,0,1400
mxbai-embed-large_latest,8,0,0,0,1.0,1.0,1.0,8,2431,0,36,0,1.0,0.9854,0.9927,2467,0,34,0,566,0.0,0,0,600,0,1,0,1399,0.0,0,0,1400
nomic-embed-text_latest,8,0,0,0,1.0,1.0,1.0,8,2422,0,45,0,1.0,0.9818,0.9908,2467,0,79,0,521,0.0,0,0,600,0,9,0,1391,0.0,0,0,1400
qwen3-embedding_latest,8,0,0,0,1.0,1.0,1.0,8,2456,0,11,0,1.0,0.9955,0.9978,2467,0,32,0,568,0.0,0,0,600,0,4,0,1396,0.0,0,0,1400
snowflake-arctic-embed_latest,8,0,0,0,1.0,1.0,1.0,8,2401,0,66,0,1.0,0.9732,0.9864,2467,0,37,0,563,0.0,0,0,600,0,4,0,1396,0.0,0,0,1400
tfidf_baseline,3,0,5,0,1.0,0.375,0.5455,8,429,0,2038,0,1.0,0.1739,0.2963,2467,0,1,0,599,0.0,0,0,600,0,0,0,1400,0,0,0,1400
